year,issue_period,display_label,cover_model,playmate_name,interview_subject,notable_cover_names,source_confidence
1974,July,July 1974,Christine Maddox,Carol Vitale,Barry Commoner,,verified
1974,August,August 1974,Lynnda Kimball,Jeane Manson,Erich von Däniken,,verified
1974,September,September 1974,Zoya,Kristine Hanson,Anthony Burgess,,verified
1974,October,October 1974,Suzann Sherry,Ester Cordet,Al Goldstein,,verified
1974,November,November 1974,Claudia Jennings,Bebe Buell,Hunter Thompson,,verified
1974,December,December 1974,Robyn Douglass,Janice Raymond,Robert Redford,,verified
1975,January,January 1975,"Ester Cordet, Marilyn Lange, Bebe Buell, Francine Parks, Nancy Cameron, Kristine Hanson",Lynnda Kimball,John Dean,,verified
1975,February,February 1975,Laura Misch,Laura Misch,Mel Brooks,,verified
1975,March,March 1975,Eva Maria,Ingeborg Sorensen,Billie Jean King,,verified
1975,April,April 1975,Cyndi Wood,Victoria Cunningham,Dustin Hoffman,,verified
1975,May,May 1975,Carol Christie,Bridgett Rollins,William E. Simon,,verified
1975,June,June 1975,Marilyn Lange,Azizi Johari,Joseph Heller,,verified
1975,July,July 1975,Lynn Schiller,Lynn Schiller,Francis Ford Coppola,,verified
1975,August,August 1975,Lillian Müller,Lillian Müller,Philip Agee,,verified
1975,September,September 1975,Amy Arnold,Mesina Miller,Erica Jong,,verified
1975,October,October 1975,"Agneta Eckemyr, Zoe Z.",Jill De Vries,Cher,,verified
1975,November,November 1975,Patricia McClain,Janet Lupo,Muhammad Ali,,verified
1975,December,December 1975,Lillian Müller,Nancie Li Brandi,Jimmy Hoffa,,verified
1976,January,January 1976,"Lynnda Kimball, Mesina Miller, Lillian Müller, Azizi Johari, Ingeborg Sorensen, Victoria Cunningham, Lynn Schiller, Laura Misch, Jill De Vries, Bridgett Rollins, Janet Lupo, Nancie Li Brandi",Daina House,Elton John,,verified
1976,February,February 1976,Jill De Vries,Laura Lyons,James Caan,,verified
1976,March,March 1976,Victoria Cunningham,Ann Pennington,Norman Lear,,verified
1976,April,April 1976,Kristine DeBell,Denise Michele,Jerry Brown,,verified
1976,May,May 1976,Nancy Cameron,Patricia Margot McClain,Abbie Hoffman,,verified
1976,June,June 1976,Lillian Müller,Debra Peterson,Sara Jane Moore,,verified
1976,July,July 1976,Cyndi Wood,Deborah Borkman,Karl Hess,,verified
1976,August,August 1976,"Vol. 23, No. 8",Linda Beatty,Robert Altman,,verified
1976,September,September 1976,"Vol. 23, No. 9",Whitney Kaine,David Bowie,,verified
1976,October,October 1976,"Whitney Kaine, Karen Hafter",Hope Olson,Roone Arledge,,verified
1976,November,November 1976,Patti McGuire,Patti McGuire,Jimmy Carter,,verified
1976,December,December 1976,"Ann Pennington, Deborah Borkman",Karen Hafter,O. J. Simpson,,verified
1977,January,January 1977,"Daina House, Laura Lyons, Ann Pennington, Denise Michele, Patricia McClain, Debra Peterson, Lillian Müller, Deborah Borkman, Linda Beatty, Whitney Kaine, Hope Olson, Patti McGuire, Karen Hafter",Susan Lynn Kiger,Alex Haley,,verified
1977,February,February 1977,Lena Kansbod,Star Stowe,Keith Stroup,,verified
1977,March,March 1977,Susan Kiger,Nicki Thomas,Pat Moynihan,,verified
1977,April,April 1977,Lisa Sohm,Lisa Sohm,Gary Gilmore,,verified
1977,May,May 1977,Lillian Müller,Sheila Mullen,Cast of Saturday Night Live,,verified
1977,June,June 1977,Patti McGuire,Virve Reid,Robert Blake,,verified
1977,July,July 1977,Pamela Serpe,Sondra Theodore,Andrew Young,,verified
1977,August,August 1977,Karen Christy,Julia Lyndon,Henry Winkler,,verified
1977,September,September 1977,"Denise Michele, Hope Olson, Lisa Sohm",Debra Jo Fondren,James Earl Ray,,verified
1977,October,October 1977,Barbra Streisand,Kristine Winder,Barbra Streisand,,verified
1977,November,November 1977,Susan Kiger,Rita Lee,Henry Kyemba,,verified
1977,December,December 1977,Sondra Theodore,Ashley Cox,John Denver,,verified
1978,January,January 1978,Rita Lee,Debra Jensen,Playboy Panel: UFOs,,verified
1978,February,February 1978,Hope Olson,Janis Schmitt,Don Meredith,,verified
1978,March,March 1978,Debra Jensen,Christina Smith,Bob Dylan,,verified
1978,April,April 1978,"Susan Kiger, Patty Kiger",Pamela Jean Bryant,David Frost,,verified
1978,May,May 1978,Debra Peterson,Kathryn Morrison,Anita Bryant,,verified
1978,June,June 1978,Debra Jo Fondren,Gail Stanton,George Burns,,verified
1978,July,July 1978,Pamela Sue Martin,Karen Morton,William Colby,,verified
1978,August,August 1978,Nicki Thomas,Vicki Witt,Ted Turner,,verified
1978,September,September 1978,Sue Paul,Rosanne Katon,Sylvester Stallone,,verified
1978,October,October 1978,Dolly Parton,Marcy Hanson,Dolly Parton,Cheryl Tiegs,verified
1978,November,November 1978,Monique St. Pierre,Monique St. Pierre,Geraldo Rivera,,verified
1978,December,December 1978,Farrah Fawcett,Janet Quist,John Travolta,,verified
1979,January,January 1979,25th Anniversary Issue,Candy Loving,Marlon Brando,,verified
1979,February,February 1979,Candace Collins,Lee Ann Michelle,Neil Simon,,verified
1979,March,March 1979,Debra Jensen,Denise McConnell,Ted Patrick,,verified
1979,April,April 1979,Rita Lee,Missy Cleveland,Malcolm Forbes,,verified
1979,May,May 1979,Cheryle Larsen,Michele Drake,Wendy/Walter Carlos,Dan Rather,verified
1979,June,June 1979,Monique St. Pierre,Louann Fernald,Dennis Kucinich,,verified
1979,July,July 1979,Denise Gauthier,Dorothy Mays,Joseph Wambaugh,,verified
1979,August,August 1979,Candy Loving,Dorothy Stratten,Edward Teller,,verified
1979,September,September 1979,Vicki McCarty,Vicki McCarty,Pete Rose,,verified
